"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"Evocative, Inc.","1 Enterprise Ave","2614","10320467","5068066","Evocative, Inc.","One Enterprise Avenue North",10908.8,10901.8,8174.6,21000,1.9,4.77,16.46,2014,2014,1,NA,NA,NA,"Operational","Retail","Multi","Hudson","NJ","New Jersey","07094",40.787662,-74.070595
"Digital Realty Trust, Inc.","10000 Godwin Dr","7633","10340263","4094311","Digital Realty Trust, Inc.","10000 Godwin Dr",0,0,0,96000,1.5,0,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Multi","Prince William","VA","Virginia","20110",38.735438,-77.505877
"Mapletree Industrial Trust","1001 Windward Concourse, Alpharetta","8891","10081828","4273584","Mapletree Industrial Trust","1001 Windward Concourse",4000,4000,4000,7200,1.8,3.5,1.39,2014,2014,1,NA,NA,NA,"Operational","Powered Shell","Single","Fulton","GA","Georgia","30005",34.09662,-84.23721
"Mapletree Industrial Trust","11085 Sun Center Drive, Rancho Cordova","632","10151908","4273584","Mapletree Industrial Trust","11085 Sun Center Drive",4194,0,0,6710,1.6,4.5,8.61,1982,1982,NA,2010,NA,NA,"Operational","Powered Shell","Single","Sacramento","CA","California","95670",38.596101,-121.27263
"LeFrak Organization Inc.","111 Town Square Place","894","10318451","4292415","LeFrak Organization Inc.","111 Town Square Place",15000,14500,12250,22500,1.5,5.25,23.31,1988,1988,NA,NA,NA,NA,"Operational","Wholesale","Multi","Hudson","NJ","New Jersey","07310",40.726365,-74.036285
"Prime Data Centers, Corp.","1111 Comstock","7243","10340468","19978007","Prime Data Centers, Corp.","1111 Comstock St",11025,11025,11025,13230,1.2,5.25,5.25,2022,2022,1,NA,NA,NA,"Operational","Wholesale","Multi","Santa Clara","CA","California","95054",37.374707,-121.952001
"Digital Realty Trust, Inc.","1115 Centennial Avenue","8226","10169714","4094311","Digital Realty Trust, Inc.","1116 Centennial Avenue",10000,10000,5000,12000,1.2,8.75,1.56,2021,2021,1,NA,NA,NA,"Operational","Wholesale","Multi","Middlesex","NJ","New Jersey","08854",40.552834,-74.45667
"Digital Realty Trust, Inc.","1122 Alma Rd","13384","10343771","4094311","Digital Realty Trust, Inc.","1122 Alma Rd",0,0,0,50625,1.5,0,0,2026,2026,3,NA,NA,NA,"Planned","Wholesale","Single","Dallas","TX","Texas","75081",32.966271,-96.715614
"Digital Realty Trust, Inc.","1125 Energy Park Dr","598","10317729","4094311","Digital Realty Trust, Inc.","1125 Energy Park Dr",0,0,0,0,1.6,0,0,1999,NA,NA,1999,2018,1,"Not Operational","Wholesale","Multi","Ramsey","MN","Minnesota","55108",44.972274,-93.147436
"Mapletree Industrial Trust","115 Second Avenue, Waltham","570","80570","4273584","Mapletree Industrial Trust","115 2nd Avenue",6978,903,903,10173,1.6,4.65,18,2006,2006,NA,NA,NA,NA,"Operational","Powered Shell","Single","Middlesex","MA","Massachusetts","02451",42.39308,-71.26546
"Centersquare","11830 Webb Chapel Road","547","73595","124026378","Centersquare","11830 Webb Chapel Road",27600.94,27600.94,27048.92,44161.5,1.6,4.53,80.63,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75234",32.9118,-96.87043
"Mapletree Industrial Trust","11900 East Cornell Avenue, Aurora","579","10041343","4273584","Mapletree Industrial Trust","11900 East Cornell Avenue",40001,33501,31100.94,64000,1.6,4.56,71.29,1984,1984,NA,NA,NA,NA,"Operational","Powered Shell","Single","Arapahoe","CO","Colorado","80114",39.66106,-104.84972
"Mapletree Industrial Trust","1221 Coit Road, Plano","8945","10039314","4273584","Mapletree Industrial Trust","1221 Coit Road",4057.02,0,0,7302.64,1.8,4.58,1.06,1986,1986,NA,2011,NA,NA,"Operational","Powered Shell","Single","Collin","TX","Texas","75075",33.01572,-96.76882
"Prime Data Centers, Corp.","1231 Comstock","9898","10341088","19978007","Prime Data Centers, Corp.","1231 Comstock Avenue",0,0,0,13500,1.2,0,0,2025,2025,3,NA,NA,NA,"Under Construction","Wholesale","Multi","Santa Clara","CA","California","95054",37.374961,-121.954866
"Digital Realty Trust, Inc.","125 N Myers St","576","80547","4094311","Digital Realty Trust, Inc.","125 North Myers Street",2743,680.5,680.5,4500,1.6,3.6,3.41,2001,2001,NA,2008,NA,NA,"Operational","Wholesale","Multi","Mecklenburg","NC","North Carolina","28202",35.22204,-80.83523
"Digital Realty Trust, Inc.","1350 Duane Avenue & 3080 Raymond Street","637","10001502","4094311","Digital Realty Trust, Inc.","1350 Duane Avenue 3080 Raymond Street",10999.64,1002.73,1002.73,18000,1.6,3.56,17.77,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Multi","Santa Clara","CA","California","95054",37.37868,-121.95485
"Prime Data Centers, Corp.","1455 Round Table","11032","10341481","19978007","Prime Data Centers, Corp.","1455 Round Table",0,0,0,18720,1.8,0,0,2025,2025,4,NA,NA,NA,"Under Construction","Wholesale","Multi","Dallas","TX","Texas","75247",32.837942,-96.880925
"Menlo Equities VI LP","14901 FAA Boulevard","555","90100","4803241","Menlo Equities VI LP","14901 FAA Boulevard",20000.33,14000.23,14000.23,32000.53,1.6,4.55,59.33,2000,2000,NA,2012,NA,NA,"Operational","Powered Shell","Single","Tarrant","TX","Texas","76155",32.83218,-97.04123
"Hines Group","150 S First St","658","10317842","115716299","Hines Group","150 S First St",11459.83,2460.06,2116.27,19000,1.6,3.83,26.51,1987,1987,NA,1999,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95101",37.333594,-121.887962
"Digital Realty Trust, Inc.","1500 Towerview Road","599","10047445","4094311","Digital Realty Trust, Inc.","1500 Towerview Road",0,0,0,0,1.5,0,0,2013,2013,1,1991,2022,4,"Not Operational","Wholesale","Single","Dakota","MN","Minnesota","55121",44.84205,-93.174514
"Digital Realty Trust, Inc.","1505 Ferris","5335","10339543","4094311","Digital Realty Trust, Inc.","1505 Ferris Road",12000,12000,12000,72000,1.5,3,23.32,2024,2024,4,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75044",32.977113,-96.650399
"Digital Realty Trust, Inc.","1506 & 44874 Moran Road","609","10031163","4094311","Digital Realty Trust, Inc.","1506 Moran Road 44874 Moran Road",5871.81,1657.82,1657.82,9395,1.6,4.5,7.77,2011,2011,1,NA,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20166",38.994639,-77.447877
"Prime Data Centers, Corp.","1510 Lookout","11030","10341475","19978007","Prime Data Centers, Corp.","1501 E Lookout Dr",19500,19500,4680,25350,1.8,5.25,10.7,2024,2024,1,NA,NA,NA,"Operational","Wholesale","Single","Dallas","TX","Texas","75082",32.98531,-96.698989
"Prime Data Centers, Corp.","1515 Round Table","11029","10341472","19978007","Prime Data Centers, Corp.","1515 Round Table",6030,6030,6030,10854,1.8,5.25,13.78,2015,2015,1,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75247",32.837903,-96.87841
"NOCIX, LLC","1530 Swift","13581","10343551","11148846","NOCIX, LLC","1530 Swift Street",1000,1000,700,10000,1.4,3.5,2,2022,2022,1,NA,NA,NA,"Operational","Retail","Multi","Clay","MO","Missouri","64116",39.136878,-94.577558
"Sailfish Investors Acquisitions LLC","1599 Amber Stapp Studdard Road","14976","10366682","137597531","Sailfish Investors Acquisitions LLC","1599 Amber Stapp Studdard Road",0,0,0,0,1.5,0,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Multi","Walton","GA","Georgia","30025",33.66005,-83.68236
"1623 Farnam","1623 Farnam","4719","10346745","19976573","1623 Farnam","Farnam Center, 1623 Farnam St",3240,2565,1755,5000,1.5,4.72,6.3,2012,2012,1,NA,NA,NA,"Operational","Retail","Multi","Douglas","NE","Nebraska","68102",41.257446,-95.938142
"165 Halsey Street Inc.","165 Halsey","6712","10340232","12606327","165 Halsey Street Inc.","165 Halsey St",30750,25509.51,23972.01,63000,1.4,5.25,53.42,1996,1996,NA,NA,NA,NA,"Operational","Powered Shell","Multi","Essex","NJ","New Jersey","07102",40.736844,-74.175983
"Alpharetta DC, LLC","1650 Union Hill Rd Alpharetta","8890","10340942","101323496","Alpharetta DC, LLC","1650 Union Hill Road",4000.25,4000.25,4000.25,7200.45,1.8,2.78,17.28,2014,2014,4,NA,NA,NA,"Operational","Powered Shell","Single","Fulton","GA","Georgia","30005",34.095229,-84.238136
"Mapletree Industrial Trust","17201 Waterview Parkway, Dallas","528","10046526","4273584","Mapletree Industrial Trust","17201 Waterview Parkway",4999.9,4999.9,4999.9,8999.82,1.8,5.83,8.58,1982,2013,1,2002,NA,NA,"Operational","Powered Shell","Multi","Dallas","TX","Texas","75252",32.98466,-96.75734
"Lumen Technologies, Inc.","1755 & 1757 Old Meadow Road, McLean","1282","10124317","4057179","Mapletree Industrial Trust","1755/1757 Old Meadow Road",1151.01,1151.01,1093.46,1842,1.6,2.62,4.17,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Fairfax","VA","Virginia","22102",38.919954,-77.211594
"DataBank Holdings, Ltd.","1764A Old Meadow Lane, McLean","2232","10124319","5222444","Mapletree Industrial Trust","1764A Old Meadow Lane",4000,4000,3200,6000,1.5,3.5,11.89,1992,2012,1,2013,NA,NA,"Operational","Retail","Multi","Fairfax","VA","Virginia","22102",38.91991,-77.21356
"Mapletree Industrial Trust","180 Peachtree Street NW, Atlanta","8058","10036350","4273584","Mapletree Industrial Trust","180 Peachtree Street Northwest",9344.58,0,0,14016.87,1.5,2.8,20.07,NA,NA,NA,NA,NA,NA,"Operational","Powered Shell","Multi","Fulton","GA","Georgia","30303",33.75856,-84.38786
"Mapletree Industrial Trust","1805 Center Park Drive, Charlotte","8060","10067684","4273584","Mapletree Industrial Trust","1805 Center Park Drive",4515,1651,1651,9000,1.7,7.53,3.6,2014,2014,1,NA,NA,NA,"Operational","Powered Shell","Single","Mecklenburg","NC","North Carolina","28217",35.17309,-80.92781
"Crown Castle Inc.","19 W Tyler - Longview","11064","10341547","4417219","Crown Castle Inc.","19 W Tyler St",100,100,100,180,1.8,3.5,0.34,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Gregg","TX","Texas","75601",32.495565,-94.740398
"Digital Realty Trust, Inc.","1900 South Price Road","631","10046527","4094311","Digital Realty Trust, Inc.","1900 South Price Road",0,0,0,0,1.6,0,0,NA,NA,NA,NA,NA,NA,"Not Operational","Wholesale","Multi","Maricopa","AZ","Arizona","85286",33.277006,-111.890277
"Lumen Technologies, Inc.","19675 West Ten Mile Road Southfield","8057","10036367","4057179","Lumen Technologies, Inc.","19675 West 10 Mile Road",1000,1000,1000,1800,1.8,3.5,2.1,1997,1997,NA,NA,NA,NA,"Operational","Powered Shell","Multi","Oakland","MI","Michigan","48075",42.472223,-83.238138
"Mapletree Industrial Trust","2 Christie Heights, Leonia","8946","10052947","4273584","Mapletree Industrial Trust","2 Christie Heights",1000,1000,1000,2000,2,1.4,0.86,1997,1997,NA,NA,NA,NA,"Operational","Powered Shell","Single","Bergen","NJ","New Jersey","07605",40.869235,-73.98951
"Digital Realty Trust, Inc.","200 Quannapowitt Parkway","5318","73605","4094311","Digital Realty Trust, Inc.","200 Quannapowitt Parkway",0,0,0,0,1.6,0,0,2013,2011,1,NA,2018,1,"Not Operational","Wholesale","Multi","Middlesex","MA","Massachusetts","01880",42.52096,-71.085
"Crown Castle Inc.","200 S. 10th Street McAllen","11058","10341531","4417219","MDC, Inc","200 S. 10th. Suite 702",25,25,7.75,45,1.8,1.75,0.04,2018,2018,1,NA,NA,NA,"Operational","Retail","Multi","Hidalgo","TX","Texas","78501",26.201923,-98.234207
"Basin Street Properties Inc.","200 South Virginia","13431","10346199","5806120","Basin Street Properties Inc.","200 S Virginia St, Suite 650",300,300,300,450,1.5,5.25,0.34,2020,2020,4,NA,NA,NA,"Operational","Powered Shell","Multi","Washoe","NV","Nevada","89501",39.522999,-119.811358
"CENTRA Digital Interconnect","200 South Virginia","13432","10346207","124583422","Basin Street Properties Inc.","200 S Virginia St, Suite 650",150,150,150,225,1.5,5.25,0.34,2021,2021,4,NA,NA,NA,"Operational","Wholesale","Multi","Washoe","NV","Nevada","89501",39.522999,-119.811358
"Mapletree Industrial Trust","2000 Kubach Rd, Philadelphia","8328","10043234","4273584","Mapletree Industrial Trust","2000 Kubach Road",7000,7000,7000,10500,1.5,3.5,24.53,1993,2012,4,NA,NA,NA,"Operational","Powered Shell","Single","Philadelphia","PA","Pennsylvania","19116",40.11628,-75.00093
"Mapletree Singapore Industrial Trust","2005 East Technology Circle, Tempe","531","10143485","11974406","Mapletree Industrial Trust","2005 East Technology Circle",5725.94,2525.86,2525.86,9200,1.6,5.05,10.88,1989,1989,NA,2007,NA,NA,"Operational","Powered Shell","Single","Maricopa","AZ","Arizona","85284",33.3436,-111.9015
"Digital Realty Trust, Inc.","2020 5th Avenue","530","10027064","4094311","Digital Realty Trust, Inc.","2020 5th Avenue",1722,0,0,3711,1.5,2.91,3.1,2013,2013,1,NA,NA,NA,"Operational","Wholesale","Single","King","WA","Washington","98121",47.614421,-122.33988
"Netrality Property Trust, LLC","210 N Tucker Blvd.","636","10185507","19185588","Netrality Property Trust, LLC","210 North Tucker Boulevard",6000,6000,3900,9600,1.6,4.5,9.36,2011,2013,1,NA,NA,NA,"Operational","Retail","Multi","St. Louis","MO","Missouri","63101",38.629262,-90.197179
"Mapletree Industrial Trust","21110 Ridgetop Circle, Sterling","601","95583","4273584","Mapletree Industrial Trust","21110 Ridgetop Circle",10162.87,5235.87,5235.87,17278,1.7,4.5,32.52,2001,2001,NA,NA,NA,NA,"Operational","Powered Shell","Single","Loudoun","VA","Virginia","20166",39.02478,-77.41225
"Mapletree Industrial Trust","21561-21571 Beaumeade Circle, Ashburn","602","10002417","4273584","Mapletree Industrial Trust","21561-21571 Beaumeade Circle",11700,3900,3900,18720,1.6,4.5,31.2,2000,2011,1,NA,NA,NA,"Operational","Powered Shell","Single","Loudoun","VA","Virginia","20147",39.02223,-77.45341
"Mapletree Industrial Trust","21744 Sir Timothy Drive, Ashburn","5413","10088939","4273584","Digital Realty Trust, Inc.","21744 Sir Timothy Drive",15000,15000,15000,29250,1.3,5.25,28.57,2018,2018,4,NA,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20147",39.013,-77.46536
"Mapletree Industrial Trust","21745 Sir Timothy Drive, Ashburn","5417","10111570","4273584","Digital Realty Trust, Inc.","21745 Sir Timothy Drive",43200,43200,43200,56160,1.3,5.6,108,2017,2017,2,NA,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20147",39.01544,-77.46697
"Digital Realty Trust, Inc.","21780 Filigree Court","7635","10180517","4094311","Digital Realty Trust, Inc.","21780 Filigree Court",20000,20000,20000,24000,1.2,3.5,39.69,2021,2021,1,NA,NA,NA,"Operational","Wholesale","Multi","Loudoun","VA","Virginia","20147",39.01404,-77.45688
"Prime Data Centers, Corp.","2225 Martin","9899","10349098","19978007","Prime Data Centers, Corp.","2225 Martin Avenue",0,0,0,32000,1.2,0,0,2026,2026,1,NA,NA,NA,"Under Construction","Wholesale","Multi","Santa Clara","CA","California","95050",37.367323,-121.962865
"Digital Realty Trust, Inc.","2300 NW 89th Place","597","91427","4094311","Digital Realty Trust, Inc.","2300 Northwest 89th Place",6750,3767,3767,10800,1.6,4.5,2.93,1984,1984,NA,1984,NA,NA,"Operational","Wholesale","Single","Miami-Dade","FL","Florida","33172",25.7954,-80.34313
"Centersquare","2301 West 120th Street","131","10123452","124026378","Mapletree Industrial Trust","2301 West 120th Street",10800,10800,8640,17280,1.6,4.2,31.1,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90250",33.924259,-118.3202
"Zayo Group Holdings, Inc.","2323 Bryan","2337","10320325","4547331","Digital Realty Trust, Inc.","2323 Bryan St",0,0,0,0,1.8,0,0,2014,2014,1,NA,2017,1,"Not Operational","Retail","Multi","Dallas","TX","Texas","75201",32.787231,-96.794157
"Crown Castle Inc.","2323 Bryan","11104","10341654","4417219","Digital Realty Trust, Inc.","2323 Bryan St",100,100,63,180,1.8,3.5,0.22,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Dallas","TX","Texas","75201",32.787231,-96.794157
"Overton Moore Properties, Inc.","2334 Lundy Place","639","73599","6991468","Overton Moore Properties, Inc.","2334 Lundy Place",9000.31,9000.31,9000.31,14500,1.6,4.13,19.88,1983,1983,NA,2001,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95101",37.40394,-121.8895
"Digital Realty Trust, Inc.","24086 Bears School Road","7634","10340293","4094311","Digital Realty Trust, Inc.","24086 Bears School Road",95985,95985,95985,120000,1.2,7.47,89.29,2023,2023,4,NA,NA,NA,"Operational","Wholesale","Multi","Loudoun","VA","Virginia","20166",38.95765,-77.485622
"Rackhouse Group, LLC","2500 West Frye Road","7200","10340411","7677627","Rackhouse Group, LLC","2500 West Frye Road",4500,4500,4500,10000,1.8,3.5,12.86,2018,2018,3,NA,NA,NA,"Operational","Wholesale","Single","Maricopa","AZ","Arizona","85286",33.300881,-111.886321
"Digital Realty Trust, Inc.","2501 Edmonds","13399","10343861","4094311","Digital Realty Trust, Inc.","2501 Edmonds Ln",0,0,0,27675,1.5,0,0,2026,2026,3,NA,NA,NA,"Planned","Wholesale","Single","Denton","TX","Texas","75067",33.007356,-96.993639
"Rackhouse Group, LLC","251 Exchange Place","606","80571","7677627","Rackhouse Group, LLC","251 Exchange Place",0,0,0,0,1.6,0,0,1984,NA,NA,2001,2020,1,"Not Operational","Wholesale","Single","Fairfax","VA","Virginia","20170",38.956689,-77.381788
"Digital Realty Trust, Inc.","2825 Lafayette","7231","10340437","4094311","Digital Realty Trust, Inc.","2825 Lafayette St",14000,14000,11200,16800,1.2,2.45,8.66,2025,2025,2,NA,NA,NA,"Operational","Wholesale","Multi","Santa Clara","CA","California","95050",37.373093,-121.947844
"Menlo Equities VI LP","2950 Zanker Rd","642","10317806","4803241","Menlo Equities VI LP","2950 Zanker Rd",4808.95,4808.95,4808.95,8000,1.6,4.14,10.6,1999,1999,NA,2010,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95134",37.39687,-121.929712
"Digital Realty Trust, Inc.","3 Corporate Pl Annex","2459","10320373","4094311","Digital Realty Trust, Inc.","3 Corporate Pl Annex",5496,5496,5496,6595,1.2,5.25,2.86,NA,NA,NA,NA,NA,NA,"Operational","Wholesale","Single","Middlesex","NJ","New Jersey","08854",40.55375,-74.459722
"Digital Realty Trust, Inc.","330 East Cermak Road","5422","10148216","4094311","Digital Realty Trust, Inc.","330 East Cermak Road",0,0,0,55000,1.3,0,0,NA,2026,1,NA,NA,NA,"Planned","Wholesale","Multi","Cook","IL","Illinois","60616",41.85317,-87.619405
"Digital Realty Trust, Inc.","3300 East Birch Street","591","73603","4094311","Digital Realty Trust, Inc.","3300 East Birch Street",0,0,0,0,1.9,0,0,1981,NA,NA,2000,2015,1,"Not Operational","Wholesale","Single","Orange","CA","California","92821",33.91749,-117.85131
"Mapletree Industrial Trust","3300 Essex Drive, Richardson","8893","10036344","4273584","Mapletree Industrial Trust","3300 Essex Drive",1700,1700,1700,3060,1.8,3.5,0.58,2006,2011,3,2010,NA,NA,"Operational","Powered Shell","Single","Collin","TX","Texas","75082",33.000218,-96.66169
"Digital Realty Trust, Inc.","3319 S. Crismon Road","7201","10129179","4094311","Digital Realty Trust, Inc.",NA,0,0,0,0,1.2,0,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Single","Maricopa","AZ","Arizona","85212",33.42299,-111.74775
"ColoHouse, LLC","350 E. Cermak","1817","10319460","5176547","Digital Realty Trust, Inc.","350 E Cermak Rd",1700,1700,1564,3230,1.9,3.5,6.43,NA,NA,NA,2005,NA,NA,"Operational","Telco","Multi","Cook","IL","Illinois","60623",41.853113,-87.618328
"Harvest Properties, Inc.","360 Spear Street","651","10030019","4573340","Harvest Properties, Inc.","360 Spear Street",0,0,0,0,1.6,0,0,1999,NA,NA,NA,2019,1,"Not Operational","Wholesale","Multi","San Francisco","CA","California","94105",37.789084,-122.39012
"365 Data Centers Services, LLC","365 Main - DA5","23","10352556","4334750","365 Data Centers Services, LLC","4101 Bryan St. #9",0,0,0,0,1.8,0,0,NA,NA,NA,NA,2016,2,"Not Operational","Retail","Multi","Dallas","TX","Texas","75201",32.797891,-96.781061
"Internap Holding LLC","375 Pearl St","488","10317603","4094637","Sabey Data Center Properties LLC","375 Pearl Street",0,0,0,0,1.9,0,0,2013,2013,1,NA,2023,1,"Not Operational","Retail","Multi","New York","NY","New York","10004",40.71096,-74.00142
"Mapletree Industrial Trust","375 Riverside Parkway, Lithia Springs","561","73606","4273584","Mapletree Industrial Trust","375 Riverside Parkway",31999.56,22399.49,22399.49,47999.34,1.5,7.67,33.41,1998,1998,NA,2007,NA,NA,"Operational","Powered Shell","Multi","Douglas","GA","Georgia","30122",33.74422,-84.58116
"NAVISITE OPCO LLC","400 Minuteman Road","1369","10124736","4081579","Mapletree Industrial Trust","400 Minuteman Road",3450,3450,2415,7500,1.7,2.32,12.49,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Essex","MA","Massachusetts","01810",42.69657,-71.211131
"Novva Data Centers","400 Paul","5745","10185092","107455855","Novva Data Centers","400 Paul Avenue",0,0,0,28000,1.3,0,0,2026,2026,2,NA,NA,NA,"Under Construction","Wholesale","Multi","San Francisco","CA","California","94110",37.72459,-122.399
"DataBank Holdings, Ltd.","400 South Akard Street","543","10036665","5222444","DataBank Holdings, Ltd.","400 South Akard Street",25000.43,21150.48,19900.46,40000.69,1.6,5.01,64.02,2007,2007,1,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75202",32.77847,-96.79829
"Mapletree Industrial Trust","402 Franklin Rd, Brentwood","8888","10058433","4273584","Mapletree Industrial Trust","402 Franklin Road",4000,4000,4000,7200,1.8,1.36,3.53,1974,1974,NA,2001,NA,NA,"Operational","Powered Shell","Single","Williamson","TN","Tennessee","37027",36.02375,-86.7913
"Digital Realty Trust, Inc.","4040 Lafayette Center Drive","610","10014182","4094311","Digital Realty Trust, Inc.","4040 Lafayette Center Drive",2400.05,2400.05,2400.05,5000,1.5,4.75,2.51,2006,2014,3,2014,NA,NA,"Operational","Wholesale","Single","Fairfax","VA","Virginia","20151",38.90963,-77.47306
"Digital Realty Trust, Inc.","4050 Lafayette Center Drive","618","10014184","4094311","Digital Realty Trust, Inc.","4050 Lafayette Center Drive",3178.05,3178.05,3146.27,5085,1.6,4.5,4.16,1999,2011,1,2011,NA,NA,"Operational","Wholesale","Multi","Fairfax","VA","Virginia","20151",38.9091,-77.47199
"Digital Realty Trust, Inc.","410 Commerce Boulevard","533","10045966","4094311","Digital Realty Trust, Inc.","410 Commerce Boulevard",18000,9000,9000,27761,1.6,4.5,13.65,1983,1983,NA,NA,NA,NA,"Operational","Wholesale","Single","Bergen","NJ","New Jersey","07072",40.82932,-74.04917
"Hostway Services, Inc.","412 Madison","1005","10318594","5034387","Ntirety, Inc.","412 East Madison St. Ste 1200",648,648,583.2,1200,1.7,2.22,4.67,NA,2013,1,1998,NA,NA,"Operational","Hosting","Multi","Hillsborough","FL","Florida","33602",27.948991,-82.457033
"TierPoint, LLC","4121 & 4114 Perimeter Center Place","2029","10146573","4617160","Mapletree Industrial Trust","4121/4114 Perimeter Center Place",1500,1500,1200,2550,1.5,5.25,3.37,2009,2009,NA,NA,NA,NA,"Operational","Retail","Single","Oklahoma","OK","Oklahoma","73112",35.51371,-97.59514
"Menlo Equities VI LP","43790 Devin Shafron Dr (Bldg E)","619","10317777","4803241","Menlo Equities VI LP","43790 Devin Shafron Dr (Bldg E)",11410.35,11410.35,11410.35,18257,1.6,4.5,30.43,2011,2011,1,NA,NA,NA,"Operational","Wholesale","Multi","Loudoun","VA","Virginia","20147",39.004939,-77.485792
"GI Partners","43915 Devin Shafron Dr (Bldg A)","611","10008898","100317178","GI Partners","43915 Devin Shafron Drive",9921,9921,9722.58,15874,1.6,4.5,25.93,2009,2009,NA,NA,NA,NA,"Operational","Wholesale","Multi","Loudoun","VA","Virginia","20147",39.002765,-77.48189
"Menlo Equities VI LP","444 Toyama Dr","645","10317814","4803241","Menlo Equities VI LP","444 Toyama Drive",2500.01,2500.01,2500.01,4500,1.8,5.23,4.36,1994,1994,NA,2007,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","94089",37.399613,-122.014572
"Digital Realty Trust, Inc.","44470 Chilum Place","617","95584","4094311","Digital Realty Trust, Inc.","44470 Chilum Place",10056.15,5497.36,5497.36,16090,1.6,4.5,13.31,2001,2001,NA,2001,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20147",39.02229,-77.46112
"Mapletree Industrial Trust","44490 Chilum Place, Ashburn","678","120531","4273584","Digital Realty Trust, Inc.","44490 Chilum Place",10400.19,10400.19,10400.19,20000,1.5,6.87,12.87,2001,2001,NA,2005,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20147",39.02152,-77.45953
"Digital Realty Trust, Inc.","44751 Round Table Plaza (Bldg P) - IAD 42","7637","10340310","4094311","Digital Realty Trust, Inc.","44751 Round Table Plaza (Bldg P)",18000,18000,18000,27000,1.5,5.25,28.23,2019,2019,2,NA,NA,NA,"Operational","Wholesale","Multi","Loudoun","VA","Virginia","20147",39.008527,-77.461516
"Amazon.com, Inc.","45259 Severn","12974","10346154","3001792","Amazon.com, Inc.","45259 West Severn Way",0,0,0,39000,1.3,0,0,2026,2026,4,NA,NA,NA,"Planned","Hyperscale","Single","Loudoun","VA","Virginia","20166",39.02037,-77.43495
"Mapletree Industrial Trust","45845 & 45901 Nokes Blvd","616","10343590","4273584","Mapletree Industrial Trust","45845 & 45901 Nokes Blvd",12460.05,4823.03,4823.03,20000,1.6,4.5,33.23,1999,1999,NA,NA,NA,NA,"Operational","Powered Shell","Single","Loudoun","VA","Virginia","20164",39.023876,-77.415151
"Centersquare","45901-45845 Nokes Boulevard, Sterling","1672","10002418","124026378","Mapletree Singapore Industrial Trust","45901-45845 Nokes Boulevard",2391,2391,1936.71,4065,1.7,1.89,12.29,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Loudoun","VA","Virginia","20166",39.02345,-77.41321
"Flexential Inc.","4600 Carothers Parkway","3756","10114483","4074555","Mapletree Industrial Trust","4600 Carothers Parkway",6400,6400,3200,11000,1.7,4.61,6.94,2016,2016,4,NA,NA,NA,"Operational","Retail","Multi","Williamson","TN","Tennessee","37067",35.92031,-86.81564
"Menlo Equities VI LP","4650 Old Ironsides Drive","640","77907","4803241","Menlo Equities VI LP","4650 Old Ironsides Drive",8581.87,5581.99,5581.99,14000,1.6,4.14,18.91,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95054",37.39752,-121.98099
"Facility Gateway Corporation","470 Exchange","860","10318364","5227564","Facility Gateway Corporation","470 East Paces Ferry Rd. NE",0,0,0,0,1.8,0,0,NA,NA,NA,NA,2021,1,"Not Operational","Retail","Multi","Fulton","GA","Georgia","30305",33.838858,-84.37242
"Menlo Equities VI LP","4700 Old Ironsides Drive","644","78842","4803241","Menlo Equities VI LP","4700 Old Ironsides Drive",6220.11,1238.92,1238.92,10000,1.6,4.14,13.7,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95054",37.39865,-121.98104
