"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"Centersquare","LA1","1683","10346336","124026378","Digital Realty Trust, Inc.","200 N Nash St",9681,9681,8712.9,16458,1.7,5.65,22.69,2000,2000,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90245",33.917764,-118.386269
"TPX Communications","LA1","1977","10319654","100317500","TPX Communications","2001 E. Dyer Rd",1460,1460,1226.4,2482,1.7,5.11,2.43,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Orange","CA","California","92705",33.708046,-117.844697
"Vertex Ssx Corporation","LA1","2152","10319948","10099594","Vertex Ssx Corporation","615 South Grand Avenue",0,0,0,0,1.9,0,0,NA,NA,NA,NA,2018,2,"Not Operational","Retail","Multi","Los Angeles","CA","California","90017",34.048593,-118.255991
"WebRunners Inc.","LA1","2205","10319930","5286338","WebRunners Inc.","8001 Irvine Center Drive",745,745,566.2,1267,1.7,5.25,1.49,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Orange","CA","California","92618",33.661811,-117.752872
"Verizon Communications Inc.","LA1","2287","10320183","4057229","Digital Realty Trust, Inc.","Carrier Center, 600 West 7th St.",795,795,643.95,1510,1.9,5.6,1.89,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.046177,-118.258676
"ColoCrossing","LA1","2778","10320549","10350393","ColoCrossing","530 West 6th Street LA Telecom Center, Suite 901",7500,7500,5700,12750,1.7,5.25,13.68,2001,2001,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90014",34.048358,-118.255004
"Corespace, Inc.","LA1","6833","10340237","5316672","CoreSite Realty Corporation","One Wilshire Building, 624 S Grand Ave.",300,300,210,450,1.5,5.25,0.59,NA,2012,1,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.047989,-118.255568
"Evocative, Inc.","LA1","6834","10340240","5068066","Rising Realty Partners LLP","West 7 Center, 1200 W 7th St.",4200,4200,3570,8000,1.9,3.5,17.39,1999,2017,3,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.051128,-118.265923
"RackAlley LLC","LA1","6839","10339519","8375883","CoreSite Realty Corporation","One Wilshire Building, 624 S Grand Ave.",150,150,142.5,225,1.5,5.25,0.4,NA,2013,1,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.047989,-118.255568
"DataBank Holdings, Ltd.","LA1","6842","10340266","5222444","DataBank Holdings, Ltd.","One Wilshire Building, 624 S Grand Ave.",2880,2880,2880,4560,1.9,5.6,5.15,NA,2018,2,2018,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.047989,-118.255568
