statename,unique_id,reporter,address,city,state,zip_code,county,avert_region,lat,lon,first_permit_issue_year,latest_permit_issue_year,data_center_construct_year,new_permit_or_existing_update,number_of_buildings,company,brand,brand_source_url,private_equity_or_asset_manager,private_equity_or_asset_manager_source,generator_type,of_tier_2,of_tier_3,of_tier_4,vocs_tpy,nox_tpy,co_tpy,sox_tpy,pm_tpy,pm2_5_tpy,pm10_tpy,co2e_tpy,rate_capacity_original,total_generator_rate_capacity_kw,estimate_power_consumption_in_kw_hr_calculated_30,estimate_power_consumption_in_kw_hr_calculated_50,estimate_power_consumption_in_kw_hr_calculated_60,size_category_at_30,size_category_at_50_capacity_large_vs_small,size_category_at_50_capacity,size_category_at_60,reporter_notes,page,size_capacity_over_100_mw,records_link,water_stress,water_requested,daily_water_consumption_gallons,annual_water_consumption_gallons,water_notes,water_record_link,number_of_epa_enforcements,total_penalties_assessed,primary_law,case_status_desc,major_basin_name,minor_basin_name,aquifer_name,us_environmental_justice_concern,state_environmental_justice_concern,total_population_within_1_mile_of_site,us_percentile_for_ej_index_for_particulate_matter,us_percentile_for_ej_index_for_ozone,us_percentile_for_ej_index_for_nitrogen_dioxide_no2,us_percentile_for_ej_index_for_diesel_particulate_matter,us_percentile_for_ej_index_for_toxic_releases_to_air,us_percentile_for_ej_index_for_traffic_proximity_and_volume,us_percentile_for_ej_index_for_lead_paint_indicator,us_percentile_for_ej_index_for_superfund_proximity,us_percentile_for_ej_index_for_rmp_proximity,us_percentile_for_ej_index_for_hazardous_waste_proximity,us_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,us_percentile_for_ej_index_for_wastewater_discharge_indicator,us_percentile_for_ej_index_for_drinking_water_non_compliance,state_percentile_for_ej_index_for_particulate_matter,state_percentile_for_ej_index_for_ozone,state_percentile_for_ej_index_for_nitrogen_dioxide_no2,state_percentile_for_ej_index_for_diesel_particulate_matter,state_percentile_for_ej_index_for_toxic_releases_to_air,state_percentile_for_ej_index_for_traffic_proximity_and_volume,state_percentile_for_ej_index_for_lead_paint_indicator,state_percentile_for_ej_index_for_superfund_proximity,state_percentile_for_ej_index_for_rmp_proximity,state_percentile_for_ej_index_for_hazardous_waste_proximity,state_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,state_percentile_for_ej_index_for_wastewater_discharge_indicator,state_percentile_for_ej_index_for_drinking_water_non_compliance,population_within_1_mile_radius_10_000,population_within_1_mile_radius_5_000,estimated_at_2n,estimated_at_n_1,estimated_at_2n_in_twh,estimated_at_n_1_in_twh,estimated_data_center_electricity_use_in_terrawatt_hours_a_year_at_50_capacity,estimated_data_center_electricity_use_in_megawatt_hours_at_50_capacity,,large_facilites,facilities_note
California,174,Yuheng,"101 Innovation Dr, Irvine, CA 92617",Irvine,CA,92617,Orange,California,33.64556909,-117.8553723,2020,2020,,New,,IRVINE COMPANY,Irvine Company,real estate development company: https://www.irvinecompany.com/,,,Caterpillar,,,,0.005,0.07,0.015,0,0.0,0.0,0.0,,1502 BHP,1120,336,560,672,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"Internal Combustion Engine, Caterpillar, Model No. C32, 1502 BHP, Diesel Fueled, 12 Cylinders, Four-Cycle, Turbocharged and Aftercooled, driving an Emergency Electrical Generator.",,,171333,Extremely High (>80%),denied,-,-,-,-,-,-,-,-,California,Newport Bay,-,yes,no,10976.0,89,90,80,83,83,87,68,75,0,88,0,90,0,64,67,66,60,82,72,54,55,0,75,0,88,0,"More than 10,000","More than 5,000",280.01,448.02,0.002,0.004,0,0.56,364.01,not a hyperscaler,
California,204,Yuheng,"5055 Wilshire Blvd, Los Angeles, CA 90036",Los Angeles,CA,90036,Los Angeles,California,34.06288815,-118.3404598,1998,1998,,New,,"M C I, INC.",Verizon,see Verizon press release,,,Caterpillar,,,,0.013,0.171,0.037,0,0.012,0.012,0.012,,1443 HP,1076,323,538,646,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,1 Caterpillar @ 1443 BHP,,,ENG_-_Permits_-_10-07-1998_-_Fac_ID__117428_-_Appl#_345546_-_Permit#_F16334_-_Name__WORLD_COM.pdf,Extremely High (>80%),denied,-,-,-,-,-,-,-,-,California,Santa Monica Bay,-,no,no,37616.0,81,83,76,80,68,79,78,78,59,81,0,75,0,56,61,66,70,65,67,68,62,40,73,0,55,0,"More than 10,000","More than 5,000",269,430.4,0.002,0.004,0,0.54,349.7,not a hyperscaler,
California,225,Narimes,"700 E Middlefield Rd, Mountain View CA 94043",Mountain View,CA,94043,Santa Clara,California,37.39164976,-122.0465105,2017,2019,,Existing update,,LinkedIn Corporation,LinkedIn,in the name itself,,,"Cummins, Peterson CAT",,,,-,,,-,,,,,1046 HP,780,234,390,468,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,three emergency generators: two rated at 324 HP each and one rated at 398,rows 9025-9027,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,Coyote,-,no,no,18897.0,82,65,75,66,31,82,51,86,37,84,0,85,0,33,23,62,33,37,66,39,79,22,79,0,81,0,"More than 10,000","More than 5,000",195,312,0.002,0.003,0,0.39,253.5,not a hyperscaler,
California,227,Yuheng,"19935 E Walnut Dr N Walnut, CA 91789",Walnut,CA,91789,Los Angeles,California,33.99817319,-117.8685759,2008,2018,,Existing update,,"FISERV, INC.",Fiserv,in the name itself,,,Cummins,,,,-,,,-,,,,,1220 BHP,910,273,455,546,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"Internal Combustion Engine, Cummins, Model No. QSK23-G7-NR2, 1,220 BHP, Diesel Fueled, Four-Cycle, 6 Cylinders, Turbocharged/Aftercooled, driving an Emergency Electrical Generator.",,,155901,Extremely High (>80%),denied,-,-,-,-,-,-,-,-,California,San Gabriel,-,yes,no,12578.0,92,93,87,89,82,88,58,90,84,88,0,90,0,83,87,84,78,82,74,46,84,73,62,0,86,0,"More than 10,000","More than 5,000",227.44,363.9,0.002,0.003,0,0.45,295.67,not a hyperscaler,
California,229,Narimes,"860 Latour Ct, Napa CA 94558",Napa,CA,94558,Napa,California,38.25718505,-122.2739976,1999,1999,,New,,Regulus,Regulus Cyber,software based security company: https://regulus.com/,,,Caterpillar Inc,,,,-,,,-,,,,,1069 HP,797,239,399,478,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,one emergency generator rated at 1069 HP,row 4584,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,California,San Pablo Bay,-,yes,no,137.0,99,83,82,77,83,83,0,0,0,90,0,95,0,55,40,48,37,85,38,0,0,0,35,0,82,0,"fewer than 10,000","fewer than 5,000",199.25,318.8,0.002,0.003,0,0.4,259.03,not a hyperscaler,
California,235,Narimes,"1025 E Meadow Cir, Palo Alto CA 94303",Palo Alto,CA,94303,Santa Clara,California,37.4309882,-122.1078352,2021,2021,,New,,"Google, Inc.",Google,in the name itself,,,Cummins,,,,0.09,1.54,0.221,0.002,0.037,0.037,0.037,,1220 HP,910,273,455,546,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,one emergency generator rated at 1220 HP,row 9616,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx ; 1025 E Meadow Emissions.png,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,Coyote,-,no,no,12807.0,74,44,51,53,24,71,70,80,28,74,0,75,0,24,14,22,22,29,48,58,68,20,55,0,64,0,"More than 10,000","More than 5,000",227.44,363.9,0.002,0.003,0,0.45,295.67,not a hyperscaler,
California,260,Narimes,"1400 Valley House Dr, Rohnert Park, CA 94928",Rohnert Park,CA,94928,Sonoma,California,38.32274873,-122.679792,1985,1997,,Existing update,,"Somo Village Commercial, LLC",SOMO village,NP: commercial and retail leaser: https://somovillage.com/,,,Cummins,,,,-,,,-,,,,,988 HP,737,221,368,442,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,three emergeny generators: two rated at 390 HP and one rated at 208 HP,rows 4053-4055,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,California,San Pablo Bay,-,no,yes,11276.0,66,3,51,29,11,52,22,0,0,55,0,8,83,10,9,24,9,13,17,17,0,0,12,0,16,97,"More than 10,000","More than 5,000",184.19,294.7,0.002,0.003,0,0.37,239.44,not a hyperscaler,
California,264,Yuheng,"1100 J St #200, Sacramento, CA 95814",Sacramento,CA,95814,Sacramento,California,38.57982654,-121.4915212,2015,2015,,New,,Legislative counsel bureau/Legislative data ctr,California Legislative Counsel,,,,,,,,-,,,-,,,,,1510 HP,1126,338,563,676,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,(COMBINED): 755 x 2 = 1510 HP,,,PRAR 3089.xlsx,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,California,Lower American,California Central Valley Aquifer System,no,no,23369.0,88,84,83,84,38,86,78,81,84,86,0,84,0,78,42,76,67,43,79,67,64,72,71,0,70,0,"More than 10,000","More than 5,000",281.5,450.4,0.002,0.004,0,0.56,365.95,not a hyperscaler,
California,332,Narimes,"1600 Owens St, San Francisco CA 94158",San Francisco,CA,94158,San Francisco,California,37.76831016,-122.3954228,2015,2015,,New,,Kaiser Permanente,Kaiser Permanente,,,,MTU/Detroit Diesel,,,,0.049,0.66,0.108,0.003,0.058,0.058,0.058,,1194 HP,890,267,445,534,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,one emergency generator rated at 1194 HP,row 7274,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx ; 1600 Owens St emissions.png,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,San Francisco Bay,-,no,no,44051.0,82,0,80,81,60,82,54,82,60,84,0,0,0,29,5,73,69,58,72,42,69,40,81,0,0,0,"More than 10,000","More than 5,000",222.5,356,0.002,0.003,0,0.45,289.25,not a hyperscaler,
California,346,Narimes,"2580 Junction Ave, San Jose CA 95134",San Jose,CA,95134,Santa Clara,California,37.3939001,-121.922888,2014,2014,,New,,"Avnet, Inc",Avnet,NP: electronic component distributor: https://www.avnet.com/index.html?srsltid=AfmBOoqNH7Ox5P7h7HeZgpjs-I1ZB0aOwczP4rpsmrtuWaSjKGzUahdY,,,Caterpillar,,,,-,,,-,,,,,1214 HP,905,272,453,543,not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,one emergency generator rated at 1214 HP,row 7032,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,Coyote,-,no,no,12196.0,86,80,80,82,47,86,15,88,77,87,0,87,0,49,33,69,63,49,78,15,82,63,85,0,83,0,"More than 10,000","More than 5,000",226.25,362,0.002,0.003,0,0.45,294.13,not a hyperscaler,
